timestamp,battery_value,tensao,corrente
2025-03-18 15:24:56,88
2025-03-18 15:24:59,88
2025-03-18 15:25:01,88
2025-03-18 15:25:03,88
2025-03-18 15:25:05,88
2025-03-18 15:25:07,88
2025-03-18 15:25:10,88
2025-03-18 15:25:12,88
2025-03-18 15:25:14,88
2025-03-18 15:25:16,88
2025-03-18 15:25:19,88
2025-03-18 15:25:21,88
2025-03-18 15:25:23,88
2025-03-18 15:25:25,88
2025-03-18 15:25:27,88
2025-03-18 15:25:29,88
2025-03-18 15:25:32,88
2025-03-18 15:25:34,88
2025-03-18 15:25:36,88
2025-03-18 15:32:11,88,4045,6
2025-03-18 15:32:13,88,4045,6
2025-03-18 15:32:15,88,4045,6
2025-03-18 15:32:18,88,4045,6
2025-03-18 15:32:20,88,4045,6
2025-03-18 15:32:22,88,4045,6
2025-03-18 15:32:25,88,4045,6
2025-03-18 15:32:27,88,4046,6
2025-03-18 15:34:34,88,4040,7
2025-03-18 15:34:36,88,4040,7
2025-03-18 15:34:39,88,4040,7
2025-03-18 15:34:42,88,4040,7
2025-03-18 15:34:44,88,4040,7
2025-03-18 15:34:46,88,4040,7
2025-03-18 15:34:49,88,4040,7
2025-03-18 15:34:51,88,4040,7
2025-03-18 15:34:54,88,4040,7
2025-03-18 15:34:56,88,4040,7
2025-03-18 15:34:59,88,4040,7
2025-03-18 15:35:01,88,4040,7
2025-03-18 15:35:04,88,4040,7
2025-03-18 15:35:06,88,4040,7
2025-03-18 15:35:08,88,4040,7
2025-03-18 15:35:11,88,4046,6
2025-03-18 15:35:13,88,4046,6
2025-03-18 15:35:15,88,4046,6
2025-03-18 15:35:18,88,4046,6
2025-03-18 15:35:20,88,4046,6
2025-03-18 15:35:22,88,4046,6
2025-03-18 15:35:25,88,4046,6
2025-03-18 15:35:27,88,4046,6
2025-03-18 15:35:30,88,4046,6
2025-03-18 15:35:32,88,4046,6
2025-03-18 15:35:35,88,4046,6
2025-03-18 15:35:37,88,4046,6
2025-03-18 15:35:40,88,4046,6
2025-03-18 15:35:42,88,4046,6
2025-03-18 15:35:44,88,4046,6
2025-03-18 15:35:47,88,4046,6
2025-03-18 15:35:49,88,4046,6
2025-03-18 15:35:52,88,4046,6
2025-03-18 15:35:54,88,4046,6
2025-03-18 15:35:57,88,4046,6
2025-03-18 15:35:59,88,4046,6
2025-03-18 15:36:02,88,4046,6
2025-03-18 15:36:04,88,4046,6
2025-03-18 15:36:06,88,4045,6
2025-03-18 15:36:09,88,4045,6
2025-03-18 15:36:11,88,4045,6
2025-03-18 15:36:14,88,4045,6
2025-03-18 15:36:16,88,4045,6
2025-03-18 15:36:19,88,4045,6
2025-03-18 15:36:21,88,4045,6
2025-03-18 15:36:24,88,4045,6
2025-03-18 15:36:26,88,4045,6
2025-03-18 15:36:29,88,4045,6
2025-03-18 16:05:18,79,4054,6
2025-03-18 16:05:20,79,4054,6
2025-03-18 16:05:23,79,4054,6
2025-03-18 16:05:25,79,4054,6
2025-03-18 16:05:28,79,4054,6
2025-03-18 16:05:30,79,4054,6
2025-03-18 16:05:32,79,4054,6
2025-03-18 16:05:35,79,4054,6
2025-03-18 16:05:37,79,4054,6
2025-03-18 16:05:39,79,4054,6
2025-03-18 16:05:41,79,4054,6
2025-03-18 16:05:44,79,4054,6
2025-03-18 16:05:46,79,4054,6
2025-03-18 16:05:48,79,4054,6
2025-03-18 16:05:51,79,4054,6
2025-03-18 16:05:53,79,4054,6
2025-03-18 16:05:55,79,4054,6
2025-03-18 16:05:58,79,4054,6
2025-03-18 16:06:00,79,4054,6
2025-03-18 16:06:02,79,4054,6
2025-03-18 16:06:05,79,4054,6
2025-03-18 16:06:07,79,4054,6
2025-03-18 16:06:09,79,4054,6
2025-03-18 16:06:12,79,4054,6
2025-03-18 16:06:14,79,4054,6
2025-03-18 16:06:16,79,4054,6
2025-03-18 16:06:19,79,4054,6
2025-03-18 16:06:21,79,4054,6
2025-03-18 16:06:23,79,4054,6
2025-03-18 16:06:26,79,4054,6
2025-03-18 16:06:28,79,4054,6
2025-03-18 16:06:31,79,4054,6
2025-03-18 16:06:33,79,4054,6
2025-03-18 16:06:35,79,4054,6
2025-03-18 16:06:38,79,4054,6
2025-03-18 16:06:40,79,4054,6
2025-03-18 16:06:42,79,4054,6
2025-03-18 16:06:45,79,4054,6
2025-03-18 16:06:47,79,4054,6
2025-03-18 16:06:49,79,4054,6
2025-03-18 16:06:52,79,4054,6
2025-03-18 16:06:54,79,4054,6
2025-03-18 16:06:57,79,4054,6
2025-03-18 16:06:59,79,4054,6
